"","data.lens_id","data.title","data.publication_type","data.year_published","first_name","last_name","initials","name","grid_id","country_code"
"15","003-815-496-301-575","A 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks","journal article",2003,"Andrew","Wilcox","A","Harper Adams University","grid.417899.a","GB"
"16","003-815-496-301-575","A 5‐year comparison of overwintering polyphagous predator densities within a beetle bank and two conventional hedgebanks","journal article",2003,"John M.","Holland","JM","The Game Conservancy Trust, Fordingbridge, Hampshire SP6 1EF, UK",NA,"UK"
"17","047-022-834-071-036","A comparison of green lanes and field margins as bumblebee habitat in an arable landscape","journal article",2002,"P. J.","Croxton","PJ","NERC Centre for Ecology and Hydrology, Monks Wood, Abbots Ripton, Huntingdon, Cambridgeshire PE28 2LS, UK",NA,"UK"
"18","047-022-834-071-036","A comparison of green lanes and field margins as bumblebee habitat in an arable landscape","journal article",2002,"Claire","Carvell","C","NERC Centre for Ecology and Hydrology, Monks Wood, Abbots Ripton, Huntingdon, Cambridgeshire PE28 2LS, UK",NA,"UK"
"19","047-022-834-071-036","A comparison of green lanes and field margins as bumblebee habitat in an arable landscape","journal article",2002,"J. O.","Mountford","JO","NERC Centre for Ecology and Hydrology, Monks Wood, Abbots Ripton, Huntingdon, Cambridgeshire PE28 2LS, UK",NA,"UK"
"20","047-022-834-071-036","A comparison of green lanes and field margins as bumblebee habitat in an arable landscape","journal article",2002,"Tim H.","Sparks","TH","NERC Centre for Ecology and Hydrology, Monks Wood, Abbots Ripton, Huntingdon, Cambridgeshire PE28 2LS, UK",NA,"UK"
"21","094-060-953-943-724","A farm-scale evaluation of the influence of hedgerow cutting frequency on hawthorn (Crataegus monogyna) berry yields","journal article",2002,"P.J.","Croxton","PJ","NERC Centre for Ecology and Hydrology, Monks Wood, Abbots Ripton, Huntingdon, Cambridgeshire, PE28 2LS, UK",NA,"UK"
"22","094-060-953-943-724","A farm-scale evaluation of the influence of hedgerow cutting frequency on hawthorn (Crataegus monogyna) berry yields","journal article",2002,"Tim H.","Sparks","TH","NERC Centre for Ecology and Hydrology, Monks Wood, Abbots Ripton, Huntingdon, Cambridgeshire, PE28 2LS, UK",NA,"UK"
"23","096-197-889-670-548","A model to evaluate windbreak protection efficiency","journal article",1995,"H.","Zhang","H","University of Nebraska–Lincoln","grid.24434.35","US"
"24","096-197-889-670-548","A model to evaluate windbreak protection efficiency","journal article",1995,"James R.","Brandle","JR","University of Nebraska–Lincoln","grid.24434.35","US"
"25","096-197-889-670-548","A model to evaluate windbreak protection efficiency","journal article",1995,"G. E.","Meyer","GE","University of Nebraska–Lincoln","grid.24434.35","US"
"26","096-197-889-670-548","A model to evaluate windbreak protection efficiency","journal article",1995,"Laurie","Hodges","L","University of Nebraska–Lincoln","grid.24434.35","US"
"27","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Marius","Heinen","M","Wageningen University and Research Centre","grid.4818.5","NL"
"28","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"I.G.A.M.","Noij","IGAM","Wageningen University and Research Centre","grid.4818.5","NL"
"29","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Hanneke I. M.","Heesmans","HIM","Wageningen University and Research Centre","grid.4818.5","NL"
"30","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Jan Willem","van Groenigen","JW","Wageningen University and Research Centre","grid.4818.5","NL"
"31","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Piet","Groenendijk","P","Wageningen University and Research Centre","grid.4818.5","NL"
"32","036-180-871-084-631","A Novel Method to Determine Buffer Strip Effectiveness on Deep Soils","journal article",2012,"Jac T. N. M.","Thissen","JTNM","Biometris, Plant Research InternationalWageningen-UR, P.O. Box 1006700ACWageningenthe Netherlands",NA,"NL"
"33","093-517-933-508-881","A Stable Isotope Tracer Study of the Influences of Adjacent Land Use and Riparian Condition on Fates of Nitrate in Streams","journal article",2011,"Daniel J.","Sobota","DJ","Oregon State University","grid.4391.f","US"
"34","093-517-933-508-881","A Stable Isotope Tracer Study of the Influences of Adjacent Land Use and Riparian Condition on Fates of Nitrate in Streams","journal article",2011,"Sherri L.","Johnson","SL","United States Forest Service","grid.472551.0","US"
"35","093-517-933-508-881","A Stable Isotope Tracer Study of the Influences of Adjacent Land Use and Riparian Condition on Fates of Nitrate in Streams","journal article",2011,"Stan V.","Gregory","SV","Oregon State University","grid.4391.f","US"
"36","093-517-933-508-881","A Stable Isotope Tracer Study of the Influences of Adjacent Land Use and Riparian Condition on Fates of Nitrate in Streams","journal article",2011,"Linda R.","Ashkenas","LR","Oregon State University","grid.4391.f","US"
"37","008-125-115-932-511","A wooded riparian strip set up for nitrogen removal can affect the water flux microbial composition","journal article",2014,"Mizanur Md.","Rahman","MM","Islamic University","grid.411762.7","BD"
"38","008-125-115-932-511","A wooded riparian strip set up for nitrogen removal can affect the water flux microbial composition","journal article",2014,"Marina","Basaglia","M","University of Padua","grid.5608.b","IT"
"39","008-125-115-932-511","A wooded riparian strip set up for nitrogen removal can affect the water flux microbial composition","journal article",2014,"Lorenzo","Favaro","L","University of Padua","grid.5608.b","IT"
"40","008-125-115-932-511","A wooded riparian strip set up for nitrogen removal can affect the water flux microbial composition","journal article",2014,"Bruno","Boz","B","University of Padua","grid.5608.b","IT"
"41","008-125-115-932-511","A wooded riparian strip set up for nitrogen removal can affect the water flux microbial composition","journal article",2014,"Bruna","Gumiero","B","University of Bologna","grid.6292.f","IT"
"42","008-125-115-932-511","A wooded riparian strip set up for nitrogen removal can affect the water flux microbial composition","journal article",2014,"Sergio","Casella","S","University of Padua","grid.5608.b","IT"
"43","176-741-497-170-524","A-horizon dynamics in a historical hedged landscape","journal article",2009,"Stéphane","Follain","S","Institut national de la recherche agronomique","grid.414548.8","FR"
"44","176-741-497-170-524","A-horizon dynamics in a historical hedged landscape","journal article",2009,"Stéphane","Follain","S","SupAgro",NA,NA
"45","176-741-497-170-524","A-horizon dynamics in a historical hedged landscape","journal article",2009,"Christian","Walter","C","Institut national de la recherche agronomique","grid.414548.8","FR"
"46","176-741-497-170-524","A-horizon dynamics in a historical hedged landscape","journal article",2009,"Philippe","Bonté","P","Centre national de la recherche scientifique","grid.4444.0","FR"
"47","176-741-497-170-524","A-horizon dynamics in a historical hedged landscape","journal article",2009,"Dominique","Marguerie","D","University of Rennes",NA,"FR"
"48","176-741-497-170-524","A-horizon dynamics in a historical hedged landscape","journal article",2009,"Irène","Lefèvre","I","Centre national de la recherche scientifique","grid.4444.0","FR"
"49","008-467-759-539-985","Abatement of NO3-N concentration in agricultural waters by narrow buffer strips.","journal article",2002,"Maurizio","Borin","M","Dipartimento di Agronomia Ambientale e Produzioni Vegetali, Via Romea, 16, 35020 Legnaro (Pd), Italy",NA,"IT"
"50","008-467-759-539-985","Abatement of NO3-N concentration in agricultural waters by narrow buffer strips.","journal article",2002,"Elisa","Bigon","E","Dipartimento di Agronomia Ambientale e Produzioni Vegetali, Via Romea, 16, 35020 Legnaro (Pd), Italy",NA,"IT"
"51","109-858-282-831-697","Ability of Remnant Riparian Forests, With and Without Grass Filters, to Buffer Concentrated Surface Runoff","journal article",2010,"Kris W.","Knight","KW","Iowa State University","grid.34421.30","US"
"52","109-858-282-831-697","Ability of Remnant Riparian Forests, With and Without Grass Filters, to Buffer Concentrated Surface Runoff","journal article",2010,"Richard C.","Schultz","RC","Iowa State University","grid.34421.30","US"
"53","109-858-282-831-697","Ability of Remnant Riparian Forests, With and Without Grass Filters, to Buffer Concentrated Surface Runoff","journal article",2010,"Catherine M.","Mabry","CM","Iowa State University","grid.34421.30","US"
"54","109-858-282-831-697","Ability of Remnant Riparian Forests, With and Without Grass Filters, to Buffer Concentrated Surface Runoff","journal article",2010,"Thomas M.","Isenhart","TM","Iowa State University","grid.34421.30","US"
"55","031-196-690-138-033","Abiotic and biotic factors influencing the winter distribution of predatory insects.","journal article",1992,"Matthew B.","Thomas","MB","University of Southampton","grid.5491.9","GB"
"56","031-196-690-138-033","Abiotic and biotic factors influencing the winter distribution of predatory insects.","journal article",1992,"Heidi J.","Mitchell","HJ","University of Southampton","grid.5491.9","GB"
"57","031-196-690-138-033","Abiotic and biotic factors influencing the winter distribution of predatory insects.","journal article",1992,"Stephen D.","Wratten","SD","University of Southampton","grid.5491.9","GB"
"58","158-767-540-849-130","Absence of windbreaks and replanting citrus in solid sets increase density of Asian citrus psyllid populations","journal article",2015,"Xavier","Martini","X","University of Florida","grid.15276.37","US"
"59","158-767-540-849-130","Absence of windbreaks and replanting citrus in solid sets increase density of Asian citrus psyllid populations","journal article",2015,"Kirsten S.","Pelz-Stelinski","KS","University of Florida","grid.15276.37","US"
"60","158-767-540-849-130","Absence of windbreaks and replanting citrus in solid sets increase density of Asian citrus psyllid populations","journal article",2015,"Lukasz L.","Stelinski","LL","University of Florida","grid.15276.37","US"
"61","020-544-650-878-888","Abundance and diversity of small mammals in response to various linear habitats in semi-arid agricultural landscapes","journal article",2012,"Thomas P.","Sullivan","TP","University of British Columbia","grid.17091.3e","US"
"62","020-544-650-878-888","Abundance and diversity of small mammals in response to various linear habitats in semi-arid agricultural landscapes","journal article",2012,"Druscilla S.","Sullivan","DS","Mammal Research Institute","grid.436277.3","PL"
"63","020-544-650-878-888","Abundance and diversity of small mammals in response to various linear habitats in semi-arid agricultural landscapes","journal article",2012,"H.M.A.","Thistlewood","HMA","Agriculture and Agri-Food Canada","grid.55614.33","CA"
"64","062-420-815-021-292","Abundance and diversity of soil arthropods and fungi in shelterbelts integrated with pastures in the central tablelands of New South Wales, Australia.","journal article",2018,"Elizabeth","Mbuthia","E","Science",NA,NA
"65","062-420-815-021-292","Abundance and diversity of soil arthropods and fungi in shelterbelts integrated with pastures in the central tablelands of New South Wales, Australia.","journal article",2018,"J","Shariff","J","Science",NA,NA
"66","062-420-815-021-292","Abundance and diversity of soil arthropods and fungi in shelterbelts integrated with pastures in the central tablelands of New South Wales, Australia.","journal article",2018,"Anantanarayanan","Raman","A","Science",NA,NA
"67","062-420-815-021-292","Abundance and diversity of soil arthropods and fungi in shelterbelts integrated with pastures in the central tablelands of New South Wales, Australia.","journal article",2018,"Dennis","Hodgkins","D","Science",NA,NA
"68","062-420-815-021-292","Abundance and diversity of soil arthropods and fungi in shelterbelts integrated with pastures in the central tablelands of New South Wales, Australia.","journal article",2018,"Helen I.","Nicol","HI","Science",NA,NA
"69","062-420-815-021-292","Abundance and diversity of soil arthropods and fungi in shelterbelts integrated with pastures in the central tablelands of New South Wales, Australia.","journal article",2018,"Stephen","Mannix","S","Science",NA,NA
"70","077-834-219-997-306","Abundance thresholds and the underlying ecological processes: Field voles Microtus agrestis in a fragmented landscape","journal article",2011,"Anna R.","Renwick","AR","University of Aberdeen","grid.7107.1","GB"
"71","077-834-219-997-306","Abundance thresholds and the underlying ecological processes: Field voles Microtus agrestis in a fragmented landscape","journal article",2011,"Xavier","Lambin","X","University of Aberdeen","grid.7107.1","GB"
"72","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"Catherine E.","Dandie","CE","Agriculture and Agri-Food Canada","grid.55614.33","CA"
"73","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"Sophie","Wertz","S","University of New Brunswick","grid.266820.8","CA"
"74","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"Sophie","Wertz","S","Agriculture and Agri-Food Canada","grid.55614.33","CA"
"75","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"Caissie L.","Leclair","CL","Nova Scotia Agricultural College",NA,"CA"
"76","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"Claudia","Goyer","C","Agriculture and Agri-Food Canada","grid.55614.33","CA"
"77","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"David L.","Burton","DL","Nova Scotia Agricultural College",NA,"CA"
"78","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"Cheryl L.","Patten","CL","University of New Brunswick","grid.266820.8","CA"
"79","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"Bernie J.","Zebarth","BJ","Agriculture and Agri-Food Canada","grid.55614.33","CA"
"80","101-888-749-870-953","Abundance, diversity and functional gene expression of denitrifier communities in adjacent riparian and agricultural zones","journal article",2011,"Jack T.","Trevors","JT","University of Guelph","grid.34429.38","CA"
"81","011-038-839-577-538","Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States","journal article",2015,"Yu. G.","Chendev","YG","Belgorod National Research University",NA,"RU"
"82","011-038-839-577-538","Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States","journal article",2015,"Thomas J.","Sauer","TJ","Agricultural Research Service","grid.463419.d","US"
"83","011-038-839-577-538","Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States","journal article",2015,"A. N.","Gennadiev","AN","Moscow State University","grid.14476.30","RU"
"84","011-038-839-577-538","Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States","journal article",2015,"L. L.","Novykh","LL","Belgorod National Research University",NA,"RU"
"85","011-038-839-577-538","Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States","journal article",2015,"A. N.","Petin","AN","Belgorod National Research University",NA,"RU"
"86","011-038-839-577-538","Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States","journal article",2015,"V. I.","Petina","VI","Belgorod National Research University",NA,"RU"
"87","011-038-839-577-538","Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States","journal article",2015,"E. A.","Zazdravnykh","EA","Belgorod National Research University",NA,"RU"
"88","011-038-839-577-538","Accumulation of organic carbon in chernozems (Mollisols) under shelterbelts in Russia and the United States","journal article",2015,"C. L.","Burras","CL","Iowa State University","grid.34421.30","US"
"89","087-286-707-662-159","Activity and satiation state in Pterostichus melanarius: an experiment in different agricultural habitats","journal article",2001,"Elisabeth","Fournier","E","École Normale Supérieure","grid.5607.4","FR"
"90","087-286-707-662-159","Activity and satiation state in Pterostichus melanarius: an experiment in different agricultural habitats","journal article",2001,"Michel","Loreau","M","École Normale Supérieure","grid.5607.4","FR"
"91","046-446-501-703-050","Adsorption and desorption of atrazine, desethylatrazine, deisopropylatrazine, and hydroxyatrazine in vegetated filter strip and cultivated soil.","journal article",2003,"L. J.","Krutz","LJ","Texas A&M University","grid.264756.4","US"
"92","046-446-501-703-050","Adsorption and desorption of atrazine, desethylatrazine, deisopropylatrazine, and hydroxyatrazine in vegetated filter strip and cultivated soil.","journal article",2003,"Scott A.","Senseman","SA","Texas A&M University","grid.264756.4","US"
"93","046-446-501-703-050","Adsorption and desorption of atrazine, desethylatrazine, deisopropylatrazine, and hydroxyatrazine in vegetated filter strip and cultivated soil.","journal article",2003,"Kevin J.","McInnes","KJ","Texas A&M University","grid.264756.4","US"
"94","046-446-501-703-050","Adsorption and desorption of atrazine, desethylatrazine, deisopropylatrazine, and hydroxyatrazine in vegetated filter strip and cultivated soil.","journal article",2003,"David A.","Zuberer","DA","Texas A&M University","grid.264756.4","US"
"95","046-446-501-703-050","Adsorption and desorption of atrazine, desethylatrazine, deisopropylatrazine, and hydroxyatrazine in vegetated filter strip and cultivated soil.","journal article",2003,"Dennis P.","Tierney","DP","Texas A&M University","grid.264756.4","US"
"96","117-074-543-175-080","Adsorption and Desorption of Metolachlor and Metolachlor Metabolites in Vegetated Filter Strip and Cultivated Soil","journal article",2004,"L. J.","Krutz","LJ","Texas A&M University","grid.264756.4","US"
"97","117-074-543-175-080","Adsorption and Desorption of Metolachlor and Metolachlor Metabolites in Vegetated Filter Strip and Cultivated Soil","journal article",2004,"Scott A.","Senseman","SA","Texas A&M University","grid.264756.4","US"
"98","117-074-543-175-080","Adsorption and Desorption of Metolachlor and Metolachlor Metabolites in Vegetated Filter Strip and Cultivated Soil","journal article",2004,"Kevin J.","McInnes","KJ","Texas A&M University","grid.264756.4","US"
"99","117-074-543-175-080","Adsorption and Desorption of Metolachlor and Metolachlor Metabolites in Vegetated Filter Strip and Cultivated Soil","journal article",2004,"Dennis W.","Hoffman","DW","Blackland Research CenterTexas Agricultural Experiment StationTempleTX76502",NA,"US"
"100","117-074-543-175-080","Adsorption and Desorption of Metolachlor and Metolachlor Metabolites in Vegetated Filter Strip and Cultivated Soil","journal article",2004,"Dennis P.","Tierney","DP","Environmental Stewardship and Regulatory PolicySyngenta Crop ProtectionP.O. Box 18300GreensboroNC27419",NA,NA
"101","122-193-974-026-944","Aggregate-Size Stability Distribution and Soil Stability","journal article",2004,"Carmen O.","Márquez","CO","University of Los Andes","grid.7247.6","CO"
"102","122-193-974-026-944","Aggregate-Size Stability Distribution and Soil Stability","journal article",2004,"Víctor J.","García","VJ","University of Los Andes","grid.7247.6","CO"
"103","122-193-974-026-944","Aggregate-Size Stability Distribution and Soil Stability","journal article",2004,"Cynthia A.","Cambardella","CA","Agricultural Research Service","grid.463419.d","US"
"104","122-193-974-026-944","Aggregate-Size Stability Distribution and Soil Stability","journal article",2004,"Richard C.","Schultz","RC","Iowa State University","grid.34421.30","US"
"105","122-193-974-026-944","Aggregate-Size Stability Distribution and Soil Stability","journal article",2004,"Thomas M.","Isenhart","TM","Iowa State University","grid.34421.30","US"
"106","058-743-931-737-265","Aggregation and temporal stability of carabid beetle distributions in field and hedgerow habitats","journal article",2001,"Thomas","C.F.G.","T","University of Bristol","grid.5337.2","GB"
"107","058-743-931-737-265","Aggregation and temporal stability of carabid beetle distributions in field and hedgerow habitats","journal article",2001,"L.","Parkinson","L","University of Bristol","grid.5337.2","GB"
"108","058-743-931-737-265","Aggregation and temporal stability of carabid beetle distributions in field and hedgerow habitats","journal article",2001,"Georgianne J. K.","Griffiths","GJK","University of Bristol","grid.5337.2","GB"
"109","058-743-931-737-265","Aggregation and temporal stability of carabid beetle distributions in field and hedgerow habitats","journal article",2001,"A. Fernandez","Garcia","AF","University of Bristol","grid.5337.2","GB"
"110","058-743-931-737-265","Aggregation and temporal stability of carabid beetle distributions in field and hedgerow habitats","journal article",2001,"E. J. P.","Marshall","EJP","University of Bristol","grid.5337.2","GB"
"111","111-298-852-298-484","Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale","journal article",2014,"Richard K.","Broughton","RK","Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK",NA,"UK"
"112","111-298-852-298-484","Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale","journal article",2014,"Richard F.","Shore","RF","Centre for Ecology & Hydrology, Lancaster Environment Centre, Library Avenue, Bailrigg, Lancaster LA1 4AP, UK",NA,"UK"
"113","111-298-852-298-484","Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale","journal article",2014,"Matthew S.","Heard","MS","Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK",NA,"UK"
"114","111-298-852-298-484","Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale","journal article",2014,"Sam R.","Amy","SR","Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK",NA,"UK"
"115","111-298-852-298-484","Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale","journal article",2014,"W. R.","Meek","WR","Midfield Ecology Ltd, 60 Midfield Road, Humberston, Grimsby DN36 4TH, UK",NA,"UK"
"116","111-298-852-298-484","Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale","journal article",2014,"John W.","Redhead","JW","Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK",NA,"UK"
"117","111-298-852-298-484","Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale","journal article",2014,"A.","Turk","A","Field View, School Road, Marshland St James, Wisbech, Cambridgeshire PE14 8JR, UK",NA,"UK"
"118","111-298-852-298-484","Agri-environment scheme enhances small mammal diversity and abundance at the farm-scale","journal article",2014,"Richard F.","Pywell","RF","Centre for Ecology & Hydrology, Maclean Building, Benson Lane, Crowmarsh Gifford, Wallingford, Oxfordshire OX10 8BB, UK",NA,"UK"
"119","111-596-480-904-29X","Agri-environment scheme enhancing ecosystem services: A demonstration of improved biological control in cereal crops","journal article",2012,"John M.","Holland","JM","Game & Wildlife Conservation Trust","grid.465181.f","GB"
"120","111-596-480-904-29X","Agri-environment scheme enhancing ecosystem services: A demonstration of improved biological control in cereal crops","journal article",2012,"H.","Oaten","H","Game & Wildlife Conservation Trust","grid.465181.f","GB"
"121","111-596-480-904-29X","Agri-environment scheme enhancing ecosystem services: A demonstration of improved biological control in cereal crops","journal article",2012,"S.","Moreby","S","Game & Wildlife Conservation Trust","grid.465181.f","GB"
"122","111-596-480-904-29X","Agri-environment scheme enhancing ecosystem services: A demonstration of improved biological control in cereal crops","journal article",2012,"T.","Birkett","T","Game & Wildlife Conservation Trust","grid.465181.f","GB"
"123","111-596-480-904-29X","Agri-environment scheme enhancing ecosystem services: A demonstration of improved biological control in cereal crops","journal article",2012,"J.","Simper","J","Game & Wildlife Conservation Trust","grid.465181.f","GB"
"124","111-596-480-904-29X","Agri-environment scheme enhancing ecosystem services: A demonstration of improved biological control in cereal crops","journal article",2012,"S.","Southway","S","Game & Wildlife Conservation Trust","grid.465181.f","GB"
"125","111-596-480-904-29X","Agri-environment scheme enhancing ecosystem services: A demonstration of improved biological control in cereal crops","journal article",2012,"Barbara","Smith","B","Game & Wildlife Conservation Trust","grid.465181.f","GB"
"126","056-244-188-471-763","Agri-environment schemes and butterflies: the utilisation of 6 m grass margins","journal article",2005,"Robin","Field","R","Writtle College","grid.451003.3","GB"
"127","056-244-188-471-763","Agri-environment schemes and butterflies: the utilisation of 6 m grass margins","journal article",2005,"Tim","Gardiner","T","Writtle College","grid.451003.3","GB"
"128","056-244-188-471-763","Agri-environment schemes and butterflies: the utilisation of 6 m grass margins","journal article",2005,"Christopher F.","Mason","CF","University of Essex","grid.8356.8","GB"
"129","056-244-188-471-763","Agri-environment schemes and butterflies: the utilisation of 6 m grass margins","journal article",2005,"Julian","Hill","J","Writtle College","grid.451003.3","GB"
"130","018-860-777-046-547","Agri-environment schemes and butterflies: the utilisation of two metre arable field margins","journal article",2006,"Robin","Field","R","Writtle College","grid.451003.3","GB"
"131","018-860-777-046-547","Agri-environment schemes and butterflies: the utilisation of two metre arable field margins","journal article",2006,"Tim","Gardiner","T","Writtle College","grid.451003.3","GB"
"132","018-860-777-046-547","Agri-environment schemes and butterflies: the utilisation of two metre arable field margins","journal article",2006,"Christopher F.","Mason","CF","University of Essex","grid.8356.8","GB"
"133","018-860-777-046-547","Agri-environment schemes and butterflies: the utilisation of two metre arable field margins","journal article",2006,"Julian","Hill","J","Writtle College","grid.451003.3","GB"
"134","066-882-160-758-008","Agri-environment schemes and foraging of barn owls Tyto alba","journal article",2006,"Nicholas P.","Askew","NP","University of York","grid.5685.e","GB"
"135","066-882-160-758-008","Agri-environment schemes and foraging of barn owls Tyto alba","journal article",2006,"Jeremy B.","Searle","JB","University of York","grid.5685.e","GB"
"136","066-882-160-758-008","Agri-environment schemes and foraging of barn owls Tyto alba","journal article",2006,"Niall P.","Moore","NP","Central Science Laboratory",NA,NA
"137","146-382-118-408-345","Agricultural landscapes with organic crops support higher pollinator diversity","journal article",2007,"Andrea","Holzschuh","A","University of Göttingen","grid.7450.6","DE"
"138","101-774-056-400-814","Agricultural Sediment Reduction by Giant Cane and Forest Riparian Buffers","journal article",2006,"Jon E.","Schoonover","JE","Southern Illinois University Carbondale","grid.263856.c","US"
"139","101-774-056-400-814","Agricultural Sediment Reduction by Giant Cane and Forest Riparian Buffers","journal article",2006,"Karl W. J.","Williard","KWJ","Southern Illinois University Carbondale","grid.263856.c","US"
"140","101-774-056-400-814","Agricultural Sediment Reduction by Giant Cane and Forest Riparian Buffers","journal article",2006,"James J.","Zaczek","JJ","Southern Illinois University Carbondale","grid.263856.c","US"
